username,tanggal,tweet,sentimen
pkmjangkar,3/7/2022 23:58,update jadwal vaksinasi covid 19 upt puskesmas jangkar selasa 08 maret 2022 vaksin aman vaksin halal masyarakat sehat indonesia kuat situbondo situbon situbondo situbondo sehat puskesmas jangkar,positif
CNNIndonesia,3/7/2022 23:57,syarat jalan polymerase chain reaction antigen vaksin covid 19 lengkap,netral
DindaNatasha15,3/7/2022 23:56,perintah pasti vaksin covid 19 bukti aman uji patuh disiplin protokol sehat,positif
juvejack,3/7/2022 23:49,menko maritim investasi luhut pandjaitan tangan pandemi covid 19 baik sesuai bijak salah satu kait atur kendara top news,netral
nengsunshine,3/7/2022 23:47,ok google negatif covid vaksin,netral
angga_wiradana,3/7/2022 23:46,heryanto solusi damai covid terap 3 m ekonomi masyarakat normal sembari tunggu vaksinbooster kalang rentan prioritas,netral
arga_zr,3/7/2022 23:45,tangan covid 19 airlangga nahdlatul ulama berani vaksin halal aman patuh disiplin protokol sehat,positif
kornelis_siga,3/7/2022 23:24,saleh partaonan daulay apresiasi bijak wajib laku jalan domestik bukti tes covid 19 vaksin lengkap,netral
poppppxx,3/7/2022 23:23,jadi ikut pasca imunisasi booster astrazeneca parah asa kena covid tidak tahu habis jalan vaksin,netral
eknug,3/7/2022 23:22,vaksinbooster gibran positif covid 19,negatif
Louisedmund68,3/7/2022 23:17,beri vaksin sinovac kanak 5 11 program imunisasi covid 19 bangsa vaksin anak lindung diri lindung semua pasu tugas khas imunisasi covid 19 citf,netral
Muhammad71091,3/7/2022 23:12,terus ikhtiar ambil vaksin dosis booster salah usaha henti tular covid 19 samping patuh standar operasi prosedur,positif
SuroyoTingkir,3/7/2022 23:05,tahu fakta vaksin covid 19 halo sobat polri vaksin covid 19 jenis vaksin kembang tingkat imun tubuh virus sars cov 2 sebab sakit covid 19,negatif
bsicikarang,3/7/2022 22:57,sentra vaksinasibooster covid 19 gedung rektorat universitas bsi catat informasi lokasi sentra vaksinasi gedung rektorat universitas bsi kramat 98 jadwal 1 11 maret 2022 kecuali sabtu minggu 08001200 wib vaksin dosis 3 booster,netral
BINTUNBERHAN,3/7/2022 22:50,masuk 5 positif covid tenggorok lampau sakit nya dada batuk nya dahak kahak vaksin la orang kenal vaksin positif covid gejala ringan jalan hidup sehat,negatif
Fisyasia,3/7/2022 22:48,vaksinasi covid banyak parpol ormas group konglomerat tetiba jatah distribusi vaksin barang langka selalu cari celah manfaat momentum bencana,negatif
AcatSakti,3/7/2022 22:46,merdeka endemi covid 19 lengkap vaksin patuh protokol sehat,positif
rinnsyazana,3/7/2022 22:40,booster la dokter positif covid vaksin dosa positif lelah kakak lelah,negatif
BangPale2,3/7/2022 22:39,konfirmasi aman suntik vaksin covid 19 hamil boleh penuh syarat ini patuh disiplin protokol sehat,positif
04_pedan,3/7/2022 22:28,babinsa desa temuwangi serda agus tri gunanta koramil dan kodim 0723 klaten bhabinkamtibmas aiptu sholeh laksana damping vaksin gugus tugas covid 19 desa temuwangi camat dan kodim 0723 klaten korem 074 wrt kodam iv diponegoro,netral
SatbrimobdaGor1,3/7/2022 22:00,personil satbrimob polda gorontalo laku aman ketat gudang simpan vaksin covid 19 pasti aman,netral
arief_us,3/7/2022 21:51,flash news luhut binsar pandjaitan menteri koordinator bidang maritim investasi perintah hapus syarat tes covid 19 polymerase chain reaction antigen laku jalan darat laut udara rute domestik terima vaksin corona dosis lengkap,netral
Lamana18290144,3/7/2022 21:33,kodim 0727 karanganyar seni tanggal 722022 0900 wib serda imam maulidin babinsa desa karang anggota koramil 06 karang pandan melaks damping vaksinasi covid 19 vaksin 3 boster jenis vaksin prizer puskesmas karang pandan balai desa karang kec karang pandan,netral
LatifAbdulah3,3/7/2022 21:28,vaksin covid 19 sebab mutasi varian covid 19,negatif
NGiskos,3/7/2022 21:26,covid covid jahanam alat kelamin wanita stop buat takut paksa rakyat jadi rakyat kelinci coba vaksin segera henti pandemi sih,negatif
mcreativepky,3/7/2022 20:52,aman vaksinasi covid 19 kapolsek bukit batu kali 8 warga sunti vaksin,positif
Lapas_Parepare,3/7/2022 20:26,12 kadiv masyarakat kemenkumham sulsel edi kurniadi rangka cegah covid 19 24 lapas rutan lpk sulsel vaksinasi capai 9838 persen 10997 warga bina masyarakat vaksin ri sulsel kumham pasti kumham sulsel,positif
LulutPrasetiyo,3/7/2022 20:25,surat vaksin untuk surat kebal bilang covid flu biasa itu kejar rakyat vaksin hasil,negatif
Rutanbantaeng,3/7/2022 19:55,ri sulsel kadiv masyarakat kemenkumham sulsel edi kurniadi rangka cegah covid 19 24 lapas rutan lpk sulsel vaksinasi capai 9838 persen 10997 warga bina masyarakat vaksin ri sulsel kumham pasti kumham sulsel,positif
dennis_solisa,3/7/2022 19:51,1501 simak rezim cerita edukasi sebab tular virus corona covid19 yg narasi vaksin vaksin kaji klinis nya spertinya negara terap mf fase 6 bahagia,netral
GoSumutdotcom,3/7/2022 19:38,serta didik sdn 0102 sibuhuan antusias vaksin covid ajar tatap muka,positif
rioarsaputra,3/7/2022 19:34,jadwal lokasi vaksinasi covid 19 puskesmas lurah gerai vaksin polres polsek cek jadwal,netral
fantasidedi,3/7/2022 19:09,medsos orang keluh jadi ikut pasca imunisasi pasca vaksinasi covid konsekuensi putus bagus keluh medsos keluh produsen vaksin,negatif
fantasidedi,3/7/2022 19:08,wkwkwk tertawa guling dokter ilmuwan kudu gaul banyak lab mata lihat sehat protokol sehat vaksin kena covid,negatif
wamnews_ind,3/7/2022 19:02,kemenkes 10769 dosis vaksin covid 19 24 jam total 24259048 wam news,netral
JaPenWPKL,3/7/2022 18:55,pinggir setia budi fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia langkah lindung varian omicron penting dosis booster vaksin covid 19 sosialisasi putus rantai covid 19 keluarga malaysia lari maya keluarga malaysia,netral
JaPenWPKL,3/7/2022 18:54,fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia langkah lindung varian omicron penting dosis booster vaksin covid 19 sosialisasi putus rantai covid 19 keluarga malaysia lari maya keluarga malaysia iow komunikasi kita,netral
KurunoDaichi,3/7/2022 18:46,incase vaksin 4 akan ambil siksa nya sakit nya kena covid fighter 19,negatif
Renonegoro1,3/7/2022 18:38,vaksin covid jamin aman,positif
GitaRullya,3/7/2022 18:37,konfirmasi aman suntik vaksin covid 19 hamil boleh penuh syarat,positif
GitaRullya,3/7/2022 18:37,tangan covid 19 airlangga nahdlatul ulama berani vaksin halal aman,positif
JaPenWPKL,3/7/2022 18:34,jalan rampai maju 6 pangsapuri adelia residensi rampai dahlia apartment fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia langkah lindung varian omicron penting dosis booster vaksin sosialisasi putus rantai covid 19,netral
JaPenWPKL,3/7/2022 18:23,fokus sampai pemberitahuan nasehat sehat menteri kesihatan malaysia langkah lindung varian omicron penting dosis booster vaksin covid 19 lapor uji isolasi informasi cari nilai kendiri covid 19 sosialisasi putus rantai covid 19 keluarga malaysia sosialisasi sumbang darah,netral
bershaf,3/7/2022 18:10,aku aku kena sangat ringan covid habis vaksin tidak pernah tingkat tolol aku tingkat ingat aku payah susah simpan susah simpan,negatif
BalkonJakarta,3/7/2022 18:06,kelompok kebal bentuk pilih vaksin covid 19,netral
cutlem_jack,3/7/2022 17:54,patuh disiplin protokol sehat menteri koordinator bidang ekonomi airlangga hartarto nahdlatul ulama main peran strategis ambil putus status guna vaksinasi covid 19,positif
solebayah,3/7/2022 17:33,bagus tolong buat kata vaksin booster vaksinbooster harus yang vaksinbooster sila vaksin booster yang vaksinbooster sila vaksin booster kembali normal 100 kalaupun sakit covid suruh obat biasa arti sehat silah sakit sila,negatif
mang_Ijay,3/7/2022 17:25,mandat vaksin mandat alat tes integrasi aplikasi kontrol digital fantasi bebas tuju cipta kembali normalitas gantung vaksin obat dan efek negatif di salah arti sesuai tema covid 19,netral
2Mikeadamhalik,3/7/2022 17:15,perintah keluar bijak iring kendal tangan pandemi covid 19 akhir jika masyarakat vaksin lengkap polymerase chain reaction antigen jalan darat laut udara,netral
heyadhy,3/7/2022 17:07,vaksinbooster kena covid,negatif
wow_keren,3/7/2022 17:01,yoo jae seok song ji hyo baik atas tular covid 19 vaksin yoojaeseok songjihyo,netral
HeyNuur_,3/7/2022 16:54,vaksin fungsi fungsi adik kena covid mesti laa gejala ringan gejala parah batuk flu demam gantung kebal badan la paksa orang suntik,negatif
abdulla96195174,3/7/2022 16:47,cipeng vaksin sintas covid milik sel simpan adil hapus test antigen polymerase chain reaction ganti test titer antibodi sains,netral
setiabudi___,3/7/2022 16:46,mas syukur mas nya kena covid vaksin sebenernya bagus immunnya,netral
demikebenaran,3/7/2022 16:43,dokter betulbolehkah dokter soal mudah ini mati covid 19 vaksin 471 orang mati covid 19 vaksin 30000 orang jika vaksin kesan ringan komplikasi covid orang mati vaksin,negatif
SabahMediaNews,3/7/2022 16:37,vaksin untuk anak ambil peluang cuti sekolah bawa anak terima vaksin covid 19,netral
mygyunggi,3/7/2022 16:36,minggu ngobrol endemic era kadinkes kota ketemu acara vaksin bilang varian covid lemah gejala thats oke kaya flu ya depan variantnya lemah kuat,negatif
CEOfficialID,3/7/2022 16:36,atur pesawat kereta api tes covid 19 vaksin lengkap,netral
arif_nugr1,3/7/2022 16:34,indonesia milik 440 juta sedia vaksin covid 19,netral
yhono1212,3/7/2022 16:30,airlangga hartarto sebut tonton motogp mandalika kali vaksin wajib tes antigen polymerase chain reaction airlangga sebut rata rata dosis vaksinkedua ntb 70,netral
FirmRei,3/7/2022 16:20,kebut vaksin covid 19 anak usia 6 sampai 11 bhabinkamtibmas desa batujala turut awal,netral
Arkan21605372,3/7/2022 16:18,koko28 stop vaksin 2 kali suntik alas administrasi alas sehat mari tingkat imun alami zaman sandiwara covid,negatif
BalaiSat,3/7/2022 16:18,rangka operasi selamat toba 2022 kasat lantas akp hw siahaan sh pimpin personel sat lantas laksana giat terang ajak masyarakat vaksin covid 19 operasi selamat 2022 pakai masker ayo vaksin covid 19,positif
voidotid,3/7/2022 16:09,144 orang calon jemaah haji daftar banyak 130 orang terima vaksinasi dosis tiga booster,netral
Entikaru1,3/7/2022 16:08,negara anggap covid sakit endemi masker sedang indonesia ribet urus antigen polymerase chain reaction transportasi umum isu vaksinbooster ke 4 tiap tayangin derita covid varian baru memang suram negara,negatif
nurulhudashakle,3/7/2022 16:07,ikut kisah mati tragis tangmo perang covid vaksin peras malam ajal tidak apa ambil kenal lebih baik fokus mangsa banjir,netral
HoneydaIliyina_,3/7/2022 16:04,erti a mas omong dari jaman covid orang vaksin nongkrong hahahaha,negatif
