username,tanggal,tweet,sentimen
pkmjangkar,2022-03-07 23:58:20,".update jadwal vaksinasi covid-19 UPT Puskesmas Jangkar

Selasa, 08 Maret 2022
""Vaksin Aman""
""Vaksin Halal""
""Masyarakat Sehat""
""Indonesia Kuat

@dinkes_situbondo 
@promkes_stb 
#situbondo
#situbondosehat
#puskesmasjangkar https://t.co/tBOVOZfBTW",netral
CNNIndonesia,2022-03-07 23:57:03,Syarat Perjalanan Tanpa PCR-Antigen: Vaksin Covid-19 Lengkap https://t.co/b7Px4FBhHE,netral
DindaNatasha15,2022-03-07 23:56:48,Pemerintah sudah pastikan bahwa vaksin covid 19 sudah terbukti aman dan teruji. Patuhi Disiplin Prokes https://t.co/c4BOiRwLyW,netral
juvejack,2022-03-07 23:49:31,Menko Maritim dan Investasi Luhut Pandjaitan mengungkapkan penanganan pandemi COVID-19 makin membaik. Penyesuaian kebijakan pun dilakukan. Salah satunya terkait aturan naik kendaraan umum.  #TopNews https://t.co/P29TwMyEGI https://t.co/2vkqCBmzdk,netral
nengsunshine,2022-03-07 23:47:55,"Ok Google! Kalau sudah negatif dari Covid, kapan vaksin bisa dilakukan?",netral
angga_wiradana,2022-03-07 23:46:32,@ariel_heryanto Solusinya mungkin bisa berdamai dengan Covid dan terapkan 3 M. Jika terus seperti ini bukan tidak mungkin ekonomi masyarakat bisa kembali normal sembari menunggu vaksin booster terutama utk kalangan yang rentan dan prioritas.,netral
arga_zr,2022-03-07 23:45:35,"Penanganan Covid-19, Airlangga: NU Berani Menyatakan di Awal bahwa Vaksin Halal dan Aman
https://t.co/x70yWfHKy6
Patuhi Disiplin Prokes",netral
kornelis_siga,2022-03-07 23:24:46,Saleh Partaonan Daulay mengapresiasi kebijakan tak lagi mewajibkan pelaku perjalanan domestik menunjukkan bukti tes COVID-19 jika sudah mendapat vaksin lengkap. https://t.co/SldFms3uiB
poppppxx,2022-03-07 23:23:00,"Kipinya booster AZ di aku parah banget, berasa kena covid beneran 😭 gatau krn abis perjalanan jauh tp tetep aja vaksin apa gmna"
eknug,2022-03-07 23:22:42,"Sudah Vaksin Booster, Gibran Positif Covid-19 Lagi https://t.co/aXbDnWsJHe"
detikcom,2022-03-07 23:20:41,Saleh Partaonan Daulay mengapresiasi kebijakan tak lagi mewajibkan pelaku perjalanan domestik menunjukkan bukti tes COVID-19 jika sudah mendapat vaksin lengkap. https://t.co/SldFms3uiB
Louisedmund68,2022-03-07 23:17:59,"PEMBERIAN VAKSIN SINOVAC KEPADA KANAK-KANAK 5 HINGGA 11 TAHUN DI BAWAH PROGRAM IMUNISASI COVID-19 KEBANGSAAN (PICKIDS)

#lindung_diri_lindung_semua
#pasukanpetugaskhasimunusasicovid-19(citf) https://t.co/e3KYwqMGAs"
Muhammad71091,2022-03-07 23:12:08,Teruskan berikhtiar dengan mengambil vaksin &amp; dos penggalak sebagai salah satu usaha kita  menghentikan penularan COVID-19 di samping mematuhi SOP.
SuroyoTingkir,2022-03-07 23:05:19,"TAHUKAH KAMU FAKTA TENTANG VAKSIN COVID-19? 

Halo Sobat Polri, vaksin Covid-19 adalah jenis vaksin yang dikembangkan untuk meningkatkan imun tubuh terhadap virus SARS-CoV-2 yang menyebabkan penyakit Covid-19. https://t.co/9lpETl9JMF"
bsicikarang,2022-03-07 22:57:58,"SENTRA VAKSINASI BOOSTER COVID-19 GEDUNG REKTORAT UNIVERSITAS BSI

Catat Informasi pentingnya:
🏢 Lokasi sentra vaksinasi Gedung Rektorat Universitas BSI Kramat 98
📆 Jadwal : 1 - 11 Maret 2022 (Kecuali Sabtu &amp; Minggu)
⏰ Waktu : 08:00-12:00 WIB
💉 Vaksin : Dosis ke 3 (Booster) https://t.co/PVR5DKa3f2"
BINTUNBERHAN,2022-03-07 22:50:06,"Masuk hari ke 5 positif covid, tekak makin melampau sakit nya ke dada, batuk nya berkahak tp tak lepas kahak keluar. Ni tara vaccine ni. Tp tu la org yg aku kenal tak vaksin tp positif covid simptom ringan je. Tp depa mmg jalani kehidupan sihat pun."
Fisyasia,2022-03-07 22:48:39,"Jadi inget awal-awal vaksinasi Covid.

Banyak banget parpol, ormas, group konglomerat tetiba dapat jatah distribusi. Padahal saat itu vaksin masih barang langka.

Selalu ada yg mencari celah dan memanfaatkan momentum setiap bencana. https://t.co/TMAqscJiMU"
AcatSakti,2022-03-07 22:46:42,"Uraaa.... 
Menuju endemi Covid-19
Lengkapi vaksin dan tetap patuhi Protokol kesehatan https://t.co/VLlhnT5jB7"
