username,tanggal,sentimen,tweet
pkmjangkar,3/7/2022 23:58,positif,update jadwal vaksinasi covid 19 upt puskesmas jangkar selasa 08 maret 2022 vaksin aman vaksin halal masyarakat sehat indonesia kuat situbondo situbon situbondo situ bondosehat puskesmas jangkar
CNNIndonesia,3/7/2022 23:57,netral,syarat jalan polymerase chain reaction antigen vaksin covid 19 lengkap
DindaNatasha15,3/7/2022 23:56,positif,perintah pasti vaksin covid 19 bukti aman uji patuh disiplin protokol sehat
juvejack,3/7/2022 23:49,netral,menko maritim investasi luhut pandjaitan tangan pandemi covid 19 baik sesuai bijak salah satu kait atur kendara top news
nengsunshine,3/7/2022 23:47,netral,ok google negatif covid vaksin
angga_wiradana,3/7/2022 23:46,netral,heryanto solusi damai covid terap 3 m ekonomi masyarakat normal sembari tunggu vaksinbooster kalang rentan prioritas
arga_zr,3/7/2022 23:45,positif,tangan covid 19 airlangga nahdlatul ulama berani vaksin halal aman patuh disiplin protokol sehat
kornelis_siga,3/7/2022 23:24,netral,saleh partaonan daulay apresiasi bijak wajib laku jalan domestik bukti tes covid 19 vaksin lengkap
poppppxx,3/7/2022 23:23,netral,jadi ikut pasca imunisasi booster astrazeneca parah asa kena covid tidak tahu habis jalan vaksin
eknug,3/7/2022 23:22,negatif,vaksinbooster gibran positif covid 19
Louisedmund68,3/7/2022 23:17,netral,beri vaksin sinovac kanak kanak 5 11 program imunisasi covid 19 bangsa vaksin untuk anak lindung lindung pasu tugas khas imunusasi covid 19 sertifikat internasional trade dan finance
Muhammad71091,3/7/2022 23:12,positif,terus ikhtiar ambil vaksin dosis booster salah usaha henti tular covid 19 samping patuh standar operasi prosedur
SuroyoTingkir,3/7/2022 23:05,negatif,tahu fakta vaksin covid 19 halo sobat polri vaksin covid 19 jenis vaksin kembang tingkat imun tubuh virus sars cov 2 sebab sakit covid 19
bsicikarang,3/7/2022 22:57,netral,sentra vaksinasibooster covid 19 gedung rektorat universitas bsi catat informasi lokasi sentra vaksinasi gedung rektorat universitas bsi kramat 98 jadwal 1 11 maret 2022 kecuali sabtu minggu 08 00 12 00 wib vaksin dosis 3 booster
BINTUNBERHAN,3/7/2022 22:50,negatif,masuk 5 positif covid tenggorok lampau sakit nya dada batuk nya dahak kahak vaksin la orang kenal vaksin positif covid gejala ringan jalan hidup sehat
Fisyasia,3/7/2022 22:48,negatif,vaksinasi covid parpol ormas group konglomerat tetiba jatah distribusi vaksin barang langka cari celah manfaat momentum bencana
AcatSakti,3/7/2022 22:46,positif,merdeka endemi covid 19 lengkap vaksin patuh protokol sehat
rinnsyazana,3/7/2022 22:40,negatif,booster la dokter positif covid vaksin dosa positif lelah kakak lelah
BangPale2,3/7/2022 22:39,positif,konfirmasi aman suntik vaksin covid 19 hamil boleh penuh syarat patuh disiplin protokol sehat
04_pedan,3/7/2022 22:28,netral,babinsa desa temuwangi serda agus tri gunanta koramil dan kodim 0723 klaten bhabinkamtibmas aiptu sholeh laksana damping vaksin gugus tugas covid 19 desa temuwangi camat dan kodim0723klaten korem074wrt kodamivdiponegoro
